dataset,variant,mode,n_queries,n_queries_no_relevant,rho,rho_lo,rho_hi,p_at_5,p_at_5_lo,p_at_5_hi,p_at_10,p_at_10_lo,p_at_10_hi,ndcg_at_10,ndcg_at_10_lo,ndcg_at_10_hi
validation_prolific,plain,abs_cross_instrument,80,28,0.30953124828474365,0.2592661166362787,0.3580848826771927,0.4175000000000001,0.32999999999999996,0.5125,0.35625,0.27496875000000004,0.4375,0.7216719826168134,0.684854672541115,0.7595879844514344
validation_prolific,documented,signed,80,8,0.13620346129613697,0.09596788653932889,0.1743647570167495,0.505,0.4175000000000001,0.5925624999999997,0.40750000000000003,0.32875,0.4875,0.7398480553145761,0.6953105213619928,0.78172762028052
validation_prolific,documented,abs,80,8,0.4044535347641839,0.34238269375186897,0.463444449389037,0.52,0.42750000000000005,0.6050000000000001,0.44749999999999995,0.36750000000000005,0.5275000000000001,0.7476029819540481,0.7019858064610528,0.7882617621574801
validation_prolific,documented,abs_cross_instrument,80,28,0.3907804010105274,0.3274972267070976,0.4538547743633566,0.4375,0.34,0.5349999999999999,0.37625,0.29000000000000004,0.4625,0.729738715486972,0.6862570411215401,0.77170736907066
validation_prolific,aligned,signed,80,8,0.1372335892385876,0.09826463127933263,0.17594223395177774,0.5049999999999999,0.4175000000000001,0.5900000000000001,0.40875000000000006,0.32875,0.4862812499999999,0.7409760103377843,0.697783688490903,0.7843259754393042
validation_prolific,aligned,abs,80,8,0.407507306462073,0.34592014315604247,0.4714506383348582,0.5225,0.4375,0.6075624999999998,0.4450000000000001,0.36750000000000005,0.52375,0.7479236606995867,0.702861555590604,0.7900966240232977
validation_prolific,aligned,abs_cross_instrument,80,28,0.394400196971232,0.33010734085844556,0.4574167234455856,0.4425,0.34750000000000003,0.5375,0.37625000000000003,0.29625,0.4637812499999998,0.7322193814406406,0.689383581468735,0.7746450868922594
validation_prolific,aligned_loo,signed,80,8,0.10547439153154121,0.06570515848715974,0.14580656087053578,0.4925,0.4074999999999999,0.585,0.39125000000000004,0.3175,0.46875,0.7151335622709344,0.6715610615994281,0.7548096434584592
validation_prolific,aligned_loo,abs,80,8,0.3514395486787026,0.29431735205489173,0.4109006927292148,0.5125,0.4225,0.5974999999999999,0.425,0.34249999999999997,0.50625,0.7227579450435911,0.676523594848108,0.7657320411529956
validation_prolific,aligned_loo,abs_cross_instrument,80,28,0.33662186886897794,0.2750703992471015,0.3954291110810071,0.425,0.3325,0.5175000000000001,0.3575,0.26875,0.44128124999999985,0.7050464651536956,0.6630037869708123,0.7460688935001303
validation_prolific,hyperplane_old,signed,80,8,0.23495008496244374,0.19431333558305378,0.2745787279972314,0.54,0.45500000000000007,0.6224999999999999,0.44250000000000006,0.36624999999999996,0.51875,0.7627317242789254,0.7236759104841232,0.7985311726646455
validation_prolific,hyperplane_old,abs,80,8,0.31749714701630033,0.26768576794411514,0.3632476309150983,0.5425,0.45750000000000013,0.6275624999999997,0.44625000000000004,0.37125,0.5237812499999999,0.7646155919599588,0.7294126118503488,0.8006916156586045
validation_prolific,hyperplane_old,abs_cross_instrument,80,28,0.2848210464355731,0.2358386793815468,0.3362231866132389,0.42250000000000004,0.3275,0.52,0.36000000000000004,0.28250000000000003,0.44125,0.7233362391638268,0.6826598404836531,0.7649339342731488
validation_prolific,positive_only,signed,80,8,0.19800670826711173,0.16326142267325436,0.23296065997216894,0.515,0.4324375,0.6,0.43000000000000005,0.34871875,0.5125,0.7573956087720785,0.7204246660508223,0.794220039708897
validation_prolific,positive_only,abs,80,8,0.33844599492240734,0.29261622820046934,0.383761664368436,0.5175,0.425,0.6000624999999996,0.43375,0.35625,0.51625,0.7572773248321892,0.7196023285353911,0.7952889903618435
validation_prolific,positive_only,abs_cross_instrument,80,28,0.30883561134483534,0.2589350773449068,0.3599223821480398,0.4225,0.325,0.5175624999999997,0.35750000000000004,0.27875,0.44375,0.7232317632770109,0.6784886423751691,0.7642363926770711
validation_prolific,F_composite,signed,80,8,0.13620346129613697,0.09711427923713599,0.17809769406265308,0.505,0.4175,0.5925,0.40750000000000003,0.3325,0.485,0.7398480553145761,0.6944788140878735,0.78064215303215
validation_prolific,F_composite,abs,80,8,0.4044535347641839,0.34457786980933236,0.46148683893761167,0.52,0.43499999999999994,0.6075,0.44749999999999995,0.36625,0.5325,0.7476029819540481,0.7017362533102439,0.7908196720977954
validation_prolific,F_composite,abs_cross_instrument,80,28,0.3907804010105274,0.33116817277774085,0.4559523774571574,0.4375,0.34750000000000003,0.5275624999999997,0.37625,0.28875,0.46624999999999994,0.729738715486972,0.6861586516007534,0.7724415096559291
validation_prolific,F_paper,signed,80,8,0.13621590122130173,0.09577852180365197,0.17560559213915047,0.505,0.41743749999999996,0.5974999999999999,0.40750000000000003,0.325,0.48125,0.7398406031520499,0.6992491617696602,0.7817665545477915
validation_prolific,F_paper,abs,80,8,0.40444352794888055,0.34327760213861974,0.46632846108204,0.52,0.42750000000000005,0.6125624999999997,0.44749999999999995,0.3662500000000001,0.5287499999999999,0.7475982791575178,0.7030843596707385,0.7897432506786458
validation_prolific,F_paper,abs_cross_instrument,80,28,0.3907464299377837,0.32519925883111095,0.4537775367235151,0.4375,0.34743749999999995,0.5349999999999999,0.37625,0.29121874999999997,0.4637812499999998,0.7297328940524382,0.6862763816619966,0.7714820055965537
