semanticnet_scale,n_items,match_type,n_dois,dois
binge eating adjective - hunger,4,none,0,
binge eating adjective - negative affect,31,none,0,
binge eating adjective - positive affect,15,none,0,
binge eating adjective - self-criticism,25,none,0,
bipolar recovery,36,core_exact,1,10.1037/t62236-000
black identity - assimilation,9,none,0,
black identity - centrality,8,none,0,
black identity - humanist,9,none,0,
black identity - nationalist,9,none,0,
black identity - opressed,9,none,0,
black identity - private regard,6,none,0,
black identity - public regard,6,none,0,
blushing propensity,14,core_exact,2,10.1037/t12061-000;10.1037/t12062-000
body awareness,18,core_exact,3,10.1037/t15504-000;10.1037/t70006-000;10.1037/t72030-000
body esteem,28,core_exact,4,10.1037/t07728-000;10.1037/t57096-000;10.1037/t58570-000;10.1037/t79434-000
body odor disgust,12,core_exact,1,10.1037/t65708-000
body-centred countertransference,16,none,0,
bodyparts dissatisfaction,8,none,0,
brief compassion,5,core_exact,6,10.1037/t01681-000;10.1037/t10177-000;10.1037/t73519-000;10.1037/t74760-000;10.1037/t85005-000;10.1037/t85006-000
brief experience of caregiving,21,core_exact,2,10.1037/t36496-000;10.1037/t71304-000
brief outpatient psychopathology,15,none,0,
brief psychiatric rating - children,21,none,0,
brief screen for depression,4,exact,1,10.1037/t00762-000
brief_cope,28,exact,3,10.1037/t17177-000;10.1037/t42294-000;10.1037/t49769-000
brief_self_control_survey,13,core_exact,40,10.1037/t01116-000;10.1037/t03590-000;10.1037/t06131-000;10.1037/t08509-000;10.1037/t11661-000;10.1037/t11991-000;10.1037/t15065-000;10.1037/t18078-000
bsad - anxiety,9,none,0,
bsad - depression,9,none,0,
bsri - feminine,20,none,0,
bsri - masculine,20,none,0,
bsri - neutral,20,none,0,
bsss need for support,4,none,0,
bsss perceived emotional support,4,none,0,
bsss perceived instrumental support,4,fuzzy,2,10.1037/t12388-000;10.1037/t31714-000
bsss protective buffering,6,none,0,
bsss received support emotional,9,none,0,
bsss received support informational,2,none,0,
bsss received support instrumental,3,none,0,
bsss support seeking,5,none,0,
burden childcare,5,none,0,
burden houshold,7,none,0,
burnout s,10,none,0,
burt's sexual attitudes - adversarial sexual beliefs,9,none,0,
burt's sexual attitudes - rape myth acceptance,12,none,0,
burt's sexual attitudes - sex role satisfaction,10,none,0,
burt's sexual attitudes - sex role stereotyping,9,none,0,
burt's sexual attitudes - sexual conservatism,10,none,0,
calculated thrill-seeking,10,none,0,
calling,12,core_exact,4,10.1037/t20320-000;10.1037/t52234-000;10.1037/t81291-000;10.1037/t81292-000
callousness,7,none,0,
calmness,10,none,0,
calmness2,10,none,0,
calmness3,6,none,0,
calmness4,10,none,0,
calmness5,10,none,0,
cancer treatment,29,core_exact,1,10.1037/t69217-000
capacity for love,9,none,0,
caregiver burden,15,core_exact,8,10.1037/t10682-000;10.1037/t15656-000;10.1037/t38871-000;10.1037/t43460-000;10.1037/t46512-000;10.1037/t50539-000;10.1037/t64093-000;10.1037/t70451-000
caregiver empowerment,60,core_exact,1,10.1037/t05664-000
caregiver quality of life cancer,35,core_exact,3,10.1037/t37318-000;10.1037/t37319-000;10.1037/t66729-000
caring,6,none,0,
carninism,8,none,0,
carroll depression - agitation,4,none,0,
carroll depression - anxiety,4,none,0,
carroll depression - depression,4,none,0,
carroll depression - gastrointestinal,2,none,0,
carroll depression - generalsomatic,2,none,0,
carroll depression - guilt,4,none,0,
