"DOI","Name","usage_count","first_acronym","AlternateNameList","WebsiteList","status","original_DOI_combined"
"10.1037/t10453-000","aberrant behavior checklist","718","ABC","","","not in corpus","NA"
"10.1037/t03748-000","quality of life inventory","716","QOLI","","","not in corpus","NA"
"10.1037/t01526-000","alcohol, smoking and substance involvement screening test","712","ASSIST","","","not in corpus","NA"
"10.1037/t15177-000","wechsler preschool and primary scale of intelligence--third edition","710","WPPSI – III","","http://www.pearsonassessments.com/haiweb/cultures/en-us/productdetail.htm?pid=015-8989-317&Community=CA_Ed_AI_Ability","not in corpus","NA"
"10.1037/t55280-000","children's depression rating scale--revised","698","CDRS-R","","","not in corpus","10.1037/t57848-000"
"10.1037/t07116-000","stanford sleepiness scale","696","SSS","","","not in corpus","NA"
"10.1037/t07469-000","harvard trauma questionnaire","688","HTQ","","","not in corpus","NA"
"10.1037/t56083-000","semantic differential scale","686","NA","","","not in corpus","NA"
"10.1037/t02126-000","revised conflict tactics scales","679","CTS2","","","not in corpus","NA"
"10.1037/t08059-000","balanced inventory of desirable responding","669","NA","","","not in corpus","NA"
"10.1037/t00030-000","alcohol dependence scale","662","ADS","","","not in corpus","NA"
"10.1037/t49977-000","autism diagnostic interview","661","ADI","","https://www.wpspublish.com/store/p/2645/adi-r-autism-diagnostic-interview-revised","not in corpus","NA"
"10.1037/t05198-000","ptsd checklist--military version","660","PCL-M","","https://www.ptsd.va.gov/professional/assessment/documents/APCLM.pdf","not in corpus","NA"
"10.1037/t16058-000","general health questionnaire-28","658","GHQ-28","","","not in corpus","NA"
"10.1037/t16514-000","wender utah rating scale","642","WURS","","","not in corpus","NA"
"10.1037/t04022-000","functional activities questionnaire","633","FAQ","Pfeffer Functional Activities Questionnaire","","not in corpus","NA"
"10.1037/t49981-000","quality of life enjoyment and satisfaction questionnaire","632","Q-LES-Q","","","not in corpus","NA"
"10.1037/t64336-000","diagnostic interview for genetic studies","631","DIGS","","","not in corpus","NA"
"10.1037/t06207-000","interpersonal support evaluation list","626","ISEL","","","not in corpus","NA"
"10.1037/t55271-000","resilience scale","604","NA","","","not in corpus","NA"
"10.1037/t05950-000","california psychological inventory","597","CPI","","https://www.cpp.com/en/index.aspx","not in corpus","NA"
"10.1037/t04164-000","mcgill pain questionnaire","585","MPQ","","","not in corpus","NA"
"10.1037/t41553-000","hamilton depression inventory","577","HDI","Hamilton Depression Inventory--17-Item Form | Hamilton Depression Inventory--9-Item Short Form","","not in corpus","10.1037/t04100-000"
"10.1037/t06213-000","social provisions scale","570","NA","","","not in corpus","NA"
"10.1037/t06842-000","quality of life questionnaire","569","QOL","","https://www.psychpress.com.au/allied-health-solutions/product-detail.php?productID=QLQ-A-01K","not in corpus","NA"
"10.1037/t10027-000","cope inventory","562","NA","COPE Inventory--Dispositional Version | COPE Inventory--Situational Version","http://local.psy.miami.edu/faculty/ccarver/sclCOPEF.html","not in corpus","NA"
"10.1037/t06708-000","mos 36-item short-form health survey","556","SF-36","","","not in corpus","NA"
"10.1037/t38021-000","brief assessment of cognition in schizophrenia","550","BACS","","","not in corpus","NA"
"10.1037/t03926-000","semi-structured assessment for the genetics of alcoholism","546","SSAGA-II","","","not in corpus","NA"
"10.1037/t58031-000","alabama parenting questionnaire","545","APQ","Alabama Parenting Questionnaire--Parent Form | Alabama Parenting Questionnaire--Child Form","http://fs.uno.edu/pfrick/APQ.html","not in corpus","NA"
"10.1037/t05638-000","adhd rating scale-iv","544","ADHD-RS-IV:Home Version","","http://www.guilford.com/books/ADHD-Rating-Scale-5-for-Children-and-Adolescents/DuPaul-Power-Anastopoulos-Reid/9781462524877","not in corpus","NA"
"10.1037/t01309-000","parenting scale","540","NA","","","not in corpus","NA"
"10.1037/t08303-000","binge eating scale","539","BES","","","not in corpus","NA"
"10.1037/t05461-000","eysenck personality questionnaire-revised","538","EPQ-R","","http://www.edits.net","not in corpus","10.1037/t02711-000"
"10.1037/t15197-000","short mood and feelings questionnaire","529","SMFQ","","","not in corpus","NA"
"10.1037/t06497-000","state-trait anxiety inventory for children","520","STAI-CH","","http://www.mindgarden.com/","not in corpus","NA"
"10.1037/t00791-000","cognitive failures questionnaire","519","CFQ","","","not in corpus","NA"
"10.1037/t13498-000","distress tolerance scale","512","DTS","","","not in corpus","NA"
"10.1037/t51423-000","brief resilience scale","504","NA","","","not in corpus","10.1037/t07521-000"
"10.1037/t05183-000","subjective units of distress scale","500","SUDS","Subjective Units of Disturbance Scale","http://www.oxfordclinicalpsych.com/view/10.1093/med:psych/9780199334513.001.0001/med-9780199334513-appendix-13 | http://www.inneractions.com.au/downloads/useful_tools/SUDS_Scale-Intensity_of_Feelings_Measure.pdf","not in corpus","NA"
"10.1037/t06631-000","trauma symptom checklist for children","500","TSCC","","","not in corpus","NA"
"10.1037/t38751-000","personal and social performance scale","500","PSP","","","not in corpus","NA"
"10.1037/t71986-000","canadian occupational performance measure","499","COPM","","","not in corpus","NA"
"10.1037/t15121-000","minnesota multiphasic personality inventory-2-restructured form","495","MMPI-2-RF","","http://pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=PAg523&Mode=summary","not in corpus","NA"
"10.1037/t63848-000","eq-5d-5l","486","NA","EQ-5D--5-Level Version","","not in corpus","NA"
"10.1037/t33022-000","children's sleep habits questionnaire","470","CSHQ","","","not in corpus","NA"
"10.1037/t09699-000","symptom checklist","466","KSC","Kohn Symptom Checklist","","not in corpus","NA"
"10.1037/t14978-000","bayley scales of infant and toddler development, third edition","466","Bayley--III®","","http://www.pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=015-8027-256&Mode=summary","not in corpus","NA"
"10.1037/t04471-000","obsessive compulsive drinking scale","464","OCDS","","","not in corpus","NA"
"10.1037/t67378-000","pain disability index","462","PDI","","","not in corpus","NA"
"10.1037/t11872-000","student-teacher relationship scale","456","STRS","","https://education.virginia.edu/sites/default/files/uploads/resourceLibrary/STRS.pdf | https://education.virginia.edu/faculty-research/centers-labs-projects/castl/measures-developed-robert-c-pianta-phd","not in corpus","NA"
"10.1037/t00534-000","spiritual well-being scale","452","SWBS","","http://www.lifeadvance.com/","not in corpus","NA"
"10.1037/t04973-000","davidson trauma scale","445","DTS™","","http://www.mhs.com/dts","not in corpus","NA"
"10.1037/t01311-000","parenting sense of competence scale","443","PSOC","","","not in corpus","NA"
"10.1037/t05003-000","social functioning scale","443","SFS","","","not in corpus","NA"
"10.1037/t03774-000","minnesota nicotine withdrawal scale","441","MNWS","","","not in corpus","NA"
"10.1037/t06501-000","ways of coping questionnaire","438","WAYS","","http://www.mindgarden.com/","not in corpus","NA"
"10.1037/t60094-000","panic disorder severity scale","438","NA","","","not in corpus","10.1037/t57982-000"
"10.1037/t28576-000","cohen-mansfield agitation inventory","437","CMAI","Cohen-Mansfield Agitation Inventory--Community Form | Cohen-Mansfield Agitation Inventory--Relative Form | Cohen-Mansfield Agitation Inventory--Short Form | Cohen-Mansfield Agitation Inventory--Disruptiveness Form | Cohen-Mansfield Agitation Inventory--Long Form with Expanded
                Definitions","","not in corpus","NA"
"10.1037/t15175-000","wechsler memory scale--fourth edition","430","WMS-IV","","http://pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=015-8895-800&Mode=summary","not in corpus","10.1037/t27207-000"
"10.1037/t08945-000","classroom assessment scoring system","429","CLASS","","","not in corpus","NA"
"10.1037/t30592-000","mental health continuum--short form","424","MHC-SF","","","not in corpus","NA"
"10.1037/t52053-000","comprehensive assessment of at-risk mental states","415","CAARMS","","","not in corpus","NA"
"10.1037/t15271-000","multidimensional fatigue inventory","414","MFI","","","not in corpus","NA"
"10.1037/t08132-000","emotion regulation checklist","408","NA","","","not in corpus","NA"
"10.1037/t05500-000","frost multidimensional perfectionism scale","407","FMPS","","","not in corpus","NA"
"10.1037/t12205-000","clinical interview schedule--revised","407","CIS-R","","","not in corpus","NA"
"10.1037/t04993-000","hare psychopathy checklist-revised","405","PCL-R™: 2nd Ed.","","http://www.mhs.com/Default.aspx","not in corpus","NA"
"10.1037/t08755-000","multidimensional body-self relations questionnaire","405","MBSRQ","Body-Self Relations Questionnaire","http://www.body-images.com/assessments/mbsrq.html","not in corpus","NA"
