"doi","name","items","matched","files","status"
"10.1037/t06708-000","MOS 36-Item Short-Form Health Survey (SF-36 / RAND-36)","36","10","2","REVIEW"
"10.1037/t38021-000","Brief Assessment of Cognition in Schizophrenia (BACS)","7","0","2","REVIEW"
"10.1037/t03926-000","Semi-Structured Assessment for the Genetics of Alcoholism (SSAGA-II)","0","","0","not_found"
"10.1037/t58031-000","Alabama Parenting Questionnaire (APQ)","42","35","2","REVIEW"
"10.1037/t05638-000","ADHD Rating Scale-IV (ADHD-RS-IV)","0","","0","not_found"
"10.1037/t01309-000","","0","","0","not_found"
"10.1037/t08303-000","Binge Eating Scale (BES)","0","","0","not_found"
"10.1037/t05461-000","Eysenck Personality Questionnaire-Revised (EPQ-R)","100","","2","no_source_text (scanned or nothing archived)"
"10.1037/t15197-000","Short Mood and Feelings Questionnaire (SMFQ)","13","12","1","ok"
"10.1037/t06497-000","State-Trait Anxiety Inventory for Children (STAIC)","0","","0","not_found"
"10.1037/t00791-000","Cognitive Failures Questionnaire (CFQ)","25","0","1","REVIEW"
"10.1037/t13498-000","Distress Tolerance Scale (DTS)","15","13","1","REVIEW"
"10.1037/t51423-000","Brief Resilience Scale","6","0","1","REVIEW"
"10.1037/t05183-000","Subjective Units of Distress Scale (SUDS)","0","","0","not_found"
"10.1037/t06631-000","Trauma Symptom Checklist for Children (TSCC)","0","","0","not_found"
"10.1037/t38751-000","Personal and Social Performance Scale (PSP)","1","0","1","REVIEW"
"10.1037/t71986-000","Canadian Occupational Performance Measure (COPM)","0","","0","not_found"
"10.1037/t15121-000","","0","","0","not_found"
"10.1037/t63848-000","EQ-5D-5L","5","5","1","ok"
"10.1037/t33022-000","Children's Sleep Habits Questionnaire (CSHQ)","33","29","4","REVIEW"
"10.1037/t09699-000","Kohn Symptom Checklist","0","","0","not_found"
"10.1037/t14978-000","","0","","0","not_found"
"10.1037/t28576-000","Cohen-Mansfield Agitation Inventory (CMAI)","29","29","2","ok"
"10.1037/t04973-000","Davidson Trauma Scale","17","0","1","REVIEW"
"10.1037/t04471-000","Obsessive Compulsive Drinking Scale","17","0","3","REVIEW"
