meta_doi,meta_instrument_name,scale_name,item_text,database,corpus,url
NA,Impact of Events Scale-Revised,Hyperarousal,I felt irritable and angry.,Stress Measurement Network,larsen_corpus,NA
NA,Impact of Events Scale,Subjective Distress,I felt irritable and angry.,Stress Measurement Network,larsen_corpus,NA
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I felt that everything I did was an effort,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that everything I did was an effort,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that everything I did was an effort,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I felt that everything I did was an effort.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Impact of Events Scale-Revised,Intrusion,I had trouble staying asleep.,Stress Measurement Network,larsen_corpus,NA
NA,Impact of Events Scale,Subjective Distress,I had trouble staying asleep.,Stress Measurement Network,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt so tired I just sat around and did nothing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I felt so tired I just sat around and did nothing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt so tired I just sat around and did nothing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt so tired I just sat around and did nothing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I felt so tired I just sat around and did nothing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt grumpy and cross with other people,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I felt lonely,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt lonely,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I felt lonely.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that I could not shake off the blues even with help from my family or friends,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Depression Scale,total_scale,I felt that I could not shake off the blues even with help from my family or friends.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I thought about death or dying,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I thought about death or dying,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,"I felt that I could not shake of feeling low, even with help from my family and/or friends",CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that I could not shake off the blues even with help from my family.,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,"I was not as happy as usual, even when I was praised or rewarded",CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I was less hungry than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I was less hungry than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
