dataset,regime,u,f,s,n_draws,restored_frac_mean,restored_frac_p2.5,restored_frac_p97.5,wrongly_flipped_frac_mean,wrongly_flipped_frac_p2.5,wrongly_flipped_frac_p97.5,restored_frac_unmarked_mean,restored_frac_unmarked_p2.5,restored_frac_unmarked_p97.5,restored_frac_falsely_marked_mean,restored_frac_falsely_marked_p2.5,restored_frac_falsely_marked_p97.5,restored_frac_inverted_scale_mean,restored_frac_inverted_scale_p2.5,restored_frac_inverted_scale_p97.5
pilot_holdout,missing_only,1.0,0.0,0.0,50,0.04597701149425287,0.04597701149425287,0.04597701149425287,0.0,0.0,0.0,0.04597701149425287,0.04597701149425287,0.04597701149425287,,,,,,
validation_prolific,full,0.0,0.03,0.03,50,0.2896312279310639,0.09868421052631579,0.4666666666666667,0.011399212425618222,0.0063418587896253605,0.025053969359331477,,,,0.57,0.3333333333333333,0.8531249999999999,0.008783993783993783,0.0,0.08920454545454544
validation_prolific,full,0.1,0.03,0.03,50,0.3000636424306602,0.17007575757575757,0.45352272727272724,0.013545686080275312,0.005681818181818182,0.023054755043227664,0.2658333333333333,0.0,0.6129464285714284,0.559484126984127,0.24722222222222223,0.7777777777777778,0.0014285714285714286,0.0,0.0
validation_prolific,full,0.25,0.03,0.03,50,0.24524158030011953,0.1365808823529412,0.3508731617647059,0.01910078763200488,0.00599614024962124,0.028938929168990518,0.1670108359133127,0.0505921052631579,0.35,0.5708730158730159,0.3333333333333333,0.7715277777777777,0.01634809634809635,0.0,0.2634615384615382
validation_prolific,full,0.5,0.03,0.03,50,0.1561335241427318,0.0689060092449923,0.25819865319865315,0.022650757911878587,0.012469820872274143,0.03485996190249419,0.0691566238779861,0.005769230769230771,0.16636996904024762,0.5838492063492063,0.153125,0.8888888888888888,0.011668970814132104,0.0,0.1388392857142857
validation_prolific,full,0.75,0.03,0.03,50,0.13056920180001533,0.06573563422878491,0.2416385135135135,0.021116681465662413,0.01,0.03241225165562914,0.038886564938760415,0.0,0.07377104377104376,0.6144047619047618,0.22847222222222222,1.0,0.034139554889554884,0.0,0.2456730769230769
validation_prolific,full,1.0,0.03,0.03,50,0.0956397576419249,0.045059288537549404,0.16684397163120565,0.003926566382040615,0.0035211267605633804,0.007111758915726509,0.023711138545237872,0.0,0.028480885311871228,0.583968253968254,0.26875,0.8857638888888888,0.0,0.0,0.0
validation_prolific,missing_only,0.0,0.0,0.0,50,,,,0.010695187165775402,0.0106951871657754,0.0106951871657754,,,,,,,,,
validation_prolific,missing_only,0.1,0.0,0.0,50,0.245,0.0,0.5,0.016775956284153005,0.006079234972677596,0.02459016393442623,0.245,0.0,0.5,,,,,,
validation_prolific,missing_only,0.25,0.0,0.0,50,0.15599999999999997,0.05,0.3,0.019152542372881356,0.005649717514124294,0.02824858757062147,0.15599999999999997,0.05,0.3,,,,,,
