dataset,regime,u,f,s,variant,n_draws,pearson_r_mean,pearson_r_p2.5,pearson_r_p97.5,mae_mean,mae_p2.5,mae_p97.5,sign_error_rate_mean,sign_error_rate_p2.5,sign_error_rate_p97.5,rho_mean,rho_p2.5,rho_p97.5,p_at_5_mean,p_at_5_p2.5,p_at_5_p97.5,p_at_10_mean,p_at_10_p2.5,p_at_10_p97.5,ndcg_at_10_mean,ndcg_at_10_p2.5,ndcg_at_10_p97.5
pilot_holdout,full,0.75,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,0.75,0.03,0.03,documented,50,0.3108349009977404,0.24609482382770162,0.37854394269141717,0.2022374023899816,0.19534100016676387,0.2093533992036675,0.3453669629935911,0.32199193715112673,0.36952656605333883,0.34262208615510287,0.3190197078218814,0.37299495905262214,0.5561415929203539,0.5274336283185841,0.5858407079646017,0.4663893805309734,0.44387168141592914,0.48721238938053096,0.7380073038773425,0.7202412634359154,0.7563894875914224
pilot_holdout,full,0.75,0.03,0.03,aligned,50,0.2883777022596947,0.23039243754262434,0.35696074573820974,0.20527092542858974,0.1963831093653733,0.21220164589040155,0.3533057680380401,0.32473640686375854,0.3838122803390531,0.35871196874150707,0.3278610611691588,0.38569928328961456,0.5779469026548673,0.5463274336283186,0.6066814159292035,0.4769911504424779,0.45320796460176993,0.5004867256637168,0.7520907398468996,0.7344940562927051,0.7691555392901238
pilot_holdout,full,0.75,0.03,0.03,hyperplane_old,50,0.24892350712392616,0.22151952113584572,0.27088122668074566,0.20988489453120152,0.20752112494350408,0.212685668149302,0.35835021707670045,0.34860967541864796,0.36567603886706634,0.3523203669290405,0.3411190606630731,0.36640756311166583,0.5741592920353983,0.558716814159292,0.5889823008849557,0.46730973451327434,0.45752212389380525,0.4778761061946903,0.7488532189188085,0.7398870698113631,0.7560622499757471
pilot_holdout,full,1.0,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,1.0,0.03,0.03,documented,50,0.16124662666730594,0.12208496557142207,0.21507197410897685,0.2201910064096253,0.21400812205673844,0.22470870685713182,0.3891254910068224,0.3687616291089518,0.4024963820549928,0.3284926041680664,0.3141454308006963,0.3448473553511248,0.5600353982300885,0.5455309734513275,0.5734513274336283,0.4559469026548672,0.4428761061946903,0.468429203539823,0.7377588171829632,0.7276669627313804,0.7482283180853776
pilot_holdout,full,1.0,0.03,0.03,aligned,50,0.1714738721303945,0.12670886937080203,0.21499045206117842,0.21920082142986394,0.2135485631056449,0.22414726307935093,0.38686375852801325,0.3661205292536696,0.4035662600785611,0.3345538281179748,0.31685361054612365,0.3494691972813201,0.5614159292035398,0.5473008849557522,0.5765929203539822,0.4608495575221239,0.44946902654867255,0.47039823008849563,0.7396657796483348,0.7301069524283073,0.7482218740987713
pilot_holdout,full,1.0,0.03,0.03,hyperplane_old,50,0.23109171533561093,0.21939309900964293,0.2325738636684525,0.21222217573893226,0.21161615442476817,0.21339756227162993,0.36343601405830056,0.3609520363861898,0.3659292950175729,0.34445680028661785,0.34090279312061056,0.34704631164090777,0.5651327433628319,0.5561504424778762,0.5663716814159292,0.4644424778761062,0.4612610619469026,0.4663716814159292,0.7445942040911766,0.7414316284511269,0.7458073980141038
pilot_holdout,missing_only,0.0,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,0.0,0.0,0.0,documented,50,0.8687680364329192,0.8687680364329192,0.8687680364329192,0.10551761199803499,0.10551761199803499,0.10551761199803499,0.07194542071531941,0.07194542071531941,0.07194542071531941,0.6100868570364116,0.6100868570364117,0.6100868570364117,0.729203539823009,0.7292035398230089,0.7292035398230089,0.6203539823008849,0.620353982300885,0.620353982300885,0.8700336143224358,0.8700336143224356,0.8700336143224356
pilot_holdout,missing_only,0.0,0.0,0.0,aligned,50,0.8677570411927963,0.8677570411927963,0.8677570411927963,0.10592833946564113,0.10592833946564113,0.10592833946564113,0.07194542071531941,0.07194542071531941,0.07194542071531941,0.6054238105289113,0.6054238105289113,0.6054238105289113,0.729203539823009,0.7292035398230089,0.7292035398230089,0.6150442477876106,0.6150442477876106,0.6150442477876106,0.86776660305339,0.86776660305339,0.86776660305339
pilot_holdout,missing_only,0.0,0.0,0.0,hyperplane_old,50,0.5503605333197966,0.5503605333197965,0.5503605333197965,0.16491944363383318,0.16491944363383318,0.16491944363383318,0.23320239818069052,0.23320239818069052,0.23320239818069052,0.4770114060985145,0.47701140609851445,0.47701140609851445,0.6619469026548672,0.6619469026548673,0.6619469026548673,0.5654867256637168,0.5654867256637168,0.5654867256637168,0.8143307877103381,0.8143307877103381,0.8143307877103381
pilot_holdout,missing_only,0.1,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,0.1,0.0,0.0,documented,50,0.8410830660368493,0.8161232031753117,0.8579626113314095,0.11318004894233359,0.10887443810802151,0.11879955534518558,0.0909323961132934,0.07716043001860658,0.10642443663427745,0.5753214456015608,0.5534235700295014,0.5947939224851355,0.7045309734513274,0.6835840707964601,0.7252654867256637,0.5976460176991151,0.5842699115044248,0.6104203539823009,0.851236540674093,0.8406780068903892,0.8629596985204606
pilot_holdout,missing_only,0.1,0.0,0.0,aligned,50,0.8434309679549973,0.8165618713631728,0.863207306726925,0.1122217089165474,0.1073010934499811,0.11764244576825537,0.08915443456688031,0.07270518916683895,0.10331817242092206,0.5785172710030203,0.5531540187418816,0.5971274737993852,0.7143362831858409,0.6932300884955752,0.727433628318584,0.6013451327433629,0.586924778761062,0.6146460176991151,0.8565488361960427,0.8437540098650386,0.8657311566668755
pilot_holdout,missing_only,0.1,0.0,0.0,hyperplane_old,50,0.4870962475594113,0.45298281430042664,0.516661386626657,0.176051420333857,0.17162388731962952,0.18081435807799182,0.2638164151333471,0.24661980566466818,0.28514575149886295,0.4423030492341532,0.42427989742157346,0.4569420649289045,0.6369911504424778,0.6114159292035398,0.6593805309734513,0.5386194690265487,0.5184955752212389,0.5555530973451327,0.7935772862205404,0.7790837713085761,0.8046503800712856
